state,state_abbr,year,scenario,scenario_label,data_type,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
Alabama,AL,2036,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.111487143260334,-1.9863872134317897,36
Alabama,AL,2036,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.250169209529844,-1.8477051471622763,42
Alabama,AL,2036,ssp585,High emissions (SSP585),projected,18.09787435669212,16.57430876419596,-1.5235655924961642,31
Alaska,AK,2036,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.231587898970369,-1.4637009871297586,27
Alaska,AK,2036,ssp245,Medium emissions (SSP245),projected,-1.7678869118406106,-1.7066614004681437,0.06122551137246639,11
Alaska,AK,2036,ssp585,High emissions (SSP585),projected,-1.7678869118406106,-1.0882401725589463,0.6796467392816642,4
Arizona,AZ,2036,ssp126,Low emissions (SSP126),projected,17.1998226095375,15.29182450493723,-1.907998104600267,32
Arizona,AZ,2036,ssp245,Medium emissions (SSP245),projected,17.1998226095375,15.73998631579802,-1.4598362937394758,36
Arizona,AZ,2036,ssp585,High emissions (SSP585),projected,17.1998226095375,13.938405767318145,-3.2614168422193517,46
Arkansas,AR,2036,ssp126,Low emissions (SSP126),projected,17.0073612014713,14.63850405628051,-2.3688571451907903,46
Arkansas,AR,2036,ssp245,Medium emissions (SSP245),projected,17.0073612014713,15.811140458116656,-1.1962207433546452,32
Arkansas,AR,2036,ssp585,High emissions (SSP585),projected,17.0073612014713,15.189510789251038,-1.8178504122202628,36
California,CA,2036,ssp126,Low emissions (SSP126),projected,15.811853024923483,13.708081113960848,-2.1037719109626356,40
California,CA,2036,ssp245,Medium emissions (SSP245),projected,15.811853024923483,14.05570725803229,-1.7561457668911895,39
California,CA,2036,ssp585,High emissions (SSP585),projected,15.811853024923483,12.39838209022246,-3.413470934701025,47
Colorado,CO,2036,ssp126,Low emissions (SSP126),projected,8.734178220829252,6.775205601406083,-1.9589726194231682,34
Colorado,CO,2036,ssp245,Medium emissions (SSP245),projected,8.734178220829252,7.715511992035886,-1.0186662287933659,27
Colorado,CO,2036,ssp585,High emissions (SSP585),projected,8.734178220829252,6.266455987205671,-2.467722233623581,43
Connecticut,CT,2036,ssp126,Low emissions (SSP126),projected,10.250578703703702,9.37609087637083,-0.8744878273328734,15
Connecticut,CT,2036,ssp245,Medium emissions (SSP245),projected,10.250578703703702,9.277780550930947,-0.9727981527727555,26
Connecticut,CT,2036,ssp585,High emissions (SSP585),projected,10.250578703703702,9.86413520335346,-0.3864435003502433,15
Delaware,DE,2036,ssp126,Low emissions (SSP126),projected,13.430836215870153,12.241431309471409,-1.189404906398745,21
Delaware,DE,2036,ssp245,Medium emissions (SSP245),projected,13.430836215870153,12.243402800136169,-1.1874334157339845,30
Delaware,DE,2036,ssp585,High emissions (SSP585),projected,13.430836215870153,12.955684479180679,-0.47515173668947397,16
Florida,FL,2036,ssp126,Low emissions (SSP126),projected,22.363550369500608,21.508918286170967,-0.8546320833296371,14
Florida,FL,2036,ssp245,Medium emissions (SSP245),projected,22.363550369500608,21.286244922729484,-1.0773054467711234,28
Florida,FL,2036,ssp585,High emissions (SSP585),projected,22.363550369500608,21.654154075555613,-0.7093962939449956,24
Georgia,GA,2036,ssp126,Low emissions (SSP126),projected,18.305834255349293,16.218697618218172,-2.087136637131124,39
Georgia,GA,2036,ssp245,Medium emissions (SSP245),projected,18.305834255349293,16.221044907226702,-2.084789348122592,47
Georgia,GA,2036,ssp585,High emissions (SSP585),projected,18.305834255349293,16.551837833967493,-1.7539964213818013,35
Hawaii,HI,2036,ssp126,Low emissions (SSP126),projected,19.463786783264595,23.051953917380576,3.5881671341159795,1
Hawaii,HI,2036,ssp245,Medium emissions (SSP245),projected,19.463786783264595,22.928945261509647,3.465158478245051,1
Hawaii,HI,2036,ssp585,High emissions (SSP585),projected,19.463786783264595,22.75777989310288,3.293993109838285,1
Idaho,ID,2036,ssp126,Low emissions (SSP126),projected,7.788925704178068,5.3575959199969345,-2.431329784181135,48
Idaho,ID,2036,ssp245,Medium emissions (SSP245),projected,7.788925704178068,5.559456565855488,-2.2294691383225818,49
Idaho,ID,2036,ssp585,High emissions (SSP585),projected,7.788925704178068,4.122889417166027,-3.6660362870120413,50
Illinois,IL,2036,ssp126,Low emissions (SSP126),projected,11.998179970054977,10.547461674148858,-1.4507182959061191,26
Illinois,IL,2036,ssp245,Medium emissions (SSP245),projected,11.998179970054977,11.129701145719867,-0.8684788243351067,21
Illinois,IL,2036,ssp585,High emissions (SSP585),projected,11.998179970054977,11.498136867351269,-0.5000431027037083,17
Indiana,IN,2036,ssp126,Low emissions (SSP126),projected,11.536692946940189,10.338691115281923,-1.1980018316582675,22
Indiana,IN,2036,ssp245,Medium emissions (SSP245),projected,11.536692946940189,10.874683778408397,-0.6620091685317943,19
Indiana,IN,2036,ssp585,High emissions (SSP585),projected,11.536692946940189,11.190099189506228,-0.3465937574339621,13
Iowa,IA,2036,ssp126,Low emissions (SSP126),projected,9.818505102966432,9.058586750821732,-0.7599183521446995,12
Iowa,IA,2036,ssp245,Medium emissions (SSP245),projected,9.818505102966432,9.970743228272026,0.15223812530559205,10
Iowa,IA,2036,ssp585,High emissions (SSP585),projected,9.818505102966432,10.171669283916719,0.3531641809502849,7
Kansas,KS,2036,ssp126,Low emissions (SSP126),projected,13.333157905202683,12.25842432457153,-1.0747335806311527,19
Kansas,KS,2036,ssp245,Medium emissions (SSP245),projected,13.333157905202683,14.643055665565434,1.309897760362752,4
Kansas,KS,2036,ssp585,High emissions (SSP585),projected,13.333157905202683,12.758060127300602,-0.5750977779020816,21
Kentucky,KY,2036,ssp126,Low emissions (SSP126),projected,13.95924703970665,11.889692135256285,-2.0695549044503676,38
Kentucky,KY,2036,ssp245,Medium emissions (SSP245),projected,13.95924703970665,12.184623970960516,-1.7746230687461335,40
Kentucky,KY,2036,ssp585,High emissions (SSP585),projected,13.95924703970665,12.62370628385209,-1.335540755854561,28
Louisiana,LA,2036,ssp126,Low emissions (SSP126),projected,20.25581142633577,18.27880046048725,-1.977010965848525,35
Louisiana,LA,2036,ssp245,Medium emissions (SSP245),projected,20.25581142633577,19.125499312015375,-1.130312114320406,29
Louisiana,LA,2036,ssp585,High emissions (SSP585),projected,20.25581142633577,18.588460180952683,-1.667351245383096,33
Maine,ME,2036,ssp126,Low emissions (SSP126),projected,5.728558508766371,5.130229536426883,-0.598328972339488,10
Maine,ME,2036,ssp245,Medium emissions (SSP245),projected,5.728558508766371,5.549301046946547,-0.17925746181982524,13
Maine,ME,2036,ssp585,High emissions (SSP585),projected,5.728558508766371,5.7404236582118,0.011865149445427067,11
Maryland,MD,2036,ssp126,Low emissions (SSP126),projected,13.103592759014607,11.406713751550967,-1.696879007463641,30
Maryland,MD,2036,ssp245,Medium emissions (SSP245),projected,13.103592759014607,11.405583573865039,-1.698009185149565,38
Maryland,MD,2036,ssp585,High emissions (SSP585),projected,13.103592759014607,12.09757718059926,-1.006015578415346,26
Massachusetts,MA,2036,ssp126,Low emissions (SSP126),projected,9.477986761660034,8.538931694560063,-0.9390550670999726,17
Massachusetts,MA,2036,ssp245,Medium emissions (SSP245),projected,9.477986761660034,8.574974969824119,-0.9030117918359156,22
Massachusetts,MA,2036,ssp585,High emissions (SSP585),projected,9.477986761660034,9.09170941392289,-0.38627734773714256,14
Michigan,MI,2036,ssp126,Low emissions (SSP126),projected,7.609771845433673,7.379246419149825,-0.23052542628384648,5
Michigan,MI,2036,ssp245,Medium emissions (SSP245),projected,7.609771845433673,7.793805788648856,0.18403394321518518,9
Michigan,MI,2036,ssp585,High emissions (SSP585),projected,7.609771845433673,8.395595053605321,0.7858232081716473,2
Minnesota,MN,2036,ssp126,Low emissions (SSP126),projected,6.122183381539261,6.22050414221497,0.09832076067570934,4
Minnesota,MN,2036,ssp245,Medium emissions (SSP245),projected,6.122183381539261,6.8584665865592,0.7362832050199362,6
Minnesota,MN,2036,ssp585,High emissions (SSP585),projected,6.122183381539261,6.643472557799778,0.5212891762605165,5
Mississippi,MS,2036,ssp126,Low emissions (SSP126),projected,18.86855716489669,16.3408794279271,-2.5276777369695886,49
Mississippi,MS,2036,ssp245,Medium emissions (SSP245),projected,18.86855716489669,17.00931842752004,-1.859238737376649,43
Mississippi,MS,2036,ssp585,High emissions (SSP585),projected,18.86855716489669,17.01003070480271,-1.8585264600939786,37
Missouri,MO,2036,ssp126,Low emissions (SSP126),projected,13.593498219033433,11.926189797147611,-1.6673084218858216,29
Missouri,MO,2036,ssp245,Medium emissions (SSP245),projected,13.593498219033433,13.268223991088979,-0.32527422794445315,16
Missouri,MO,2036,ssp585,High emissions (SSP585),projected,13.593498219033433,12.680362185372184,-0.9131360336612501,25
Montana,MT,2036,ssp126,Low emissions (SSP126),projected,6.662411829649825,6.357623527158577,-0.3047883024912477,7
Montana,MT,2036,ssp245,Medium emissions (SSP245),projected,6.662411829649825,6.488123197654623,-0.17428863199520084,12
Montana,MT,2036,ssp585,High emissions (SSP585),projected,6.662411829649825,4.335344494836268,-2.3270673348135573,42
Nebraska,NE,2036,ssp126,Low emissions (SSP126),projected,10.56168564190691,10.217207791179078,-0.34447785072783305,9
Nebraska,NE,2036,ssp245,Medium emissions (SSP245),projected,10.56168564190691,11.547298899542556,0.9856132576356392,5
Nebraska,NE,2036,ssp585,High emissions (SSP585),projected,10.56168564190691,9.911521391711313,-0.6501642501956016,23
Nevada,NV,2036,ssp126,Low emissions (SSP126),projected,11.81533048085535,9.7948810780914,-2.02044940276395,37
Nevada,NV,2036,ssp245,Medium emissions (SSP245),projected,11.81533048085535,9.98997357473789,-1.825356906117459,41
Nevada,NV,2036,ssp585,High emissions (SSP585),projected,11.81533048085535,8.211170285512,-3.6041601953433484,49
New Hampshire,NH,2036,ssp126,Low emissions (SSP126),projected,6.923923450873072,6.611010188399919,-0.31291326247315127,8
New Hampshire,NH,2036,ssp245,Medium emissions (SSP245),projected,6.923923450873072,6.743565585675013,-0.18035786519805702,14
New Hampshire,NH,2036,ssp585,High emissions (SSP585),projected,6.923923450873072,7.411674625032204,0.4877511741591329,6
New Jersey,NJ,2036,ssp126,Low emissions (SSP126),projected,12.101994987675342,10.933558981826991,-1.1684360058483494,20
New Jersey,NJ,2036,ssp245,Medium emissions (SSP245),projected,12.101994987675342,10.835622689843056,-1.2663722978322838,33
New Jersey,NJ,2036,ssp585,High emissions (SSP585),projected,12.101994987675342,11.487984266765613,-0.6140107209097287,22
New Mexico,NM,2036,ssp126,Low emissions (SSP126),projected,13.477203270478817,11.230283060970997,-2.2469202095078207,45
New Mexico,NM,2036,ssp245,Medium emissions (SSP245),projected,13.477203270478817,12.541874966457373,-0.9353283040214454,24
New Mexico,NM,2036,ssp585,High emissions (SSP585),projected,13.477203270478817,11.421335001194262,-2.055868269284557,39
New York,NY,2036,ssp126,Low emissions (SSP126),projected,7.87993020304068,7.002985600309179,-0.8769446027314995,16
New York,NY,2036,ssp245,Medium emissions (SSP245),projected,7.87993020304068,7.276984965334344,-0.602945237706333,18
New York,NY,2036,ssp585,High emissions (SSP585),projected,7.87993020304068,7.974250548418845,0.0943203453781681,9
North Carolina,NC,2036,ssp126,Low emissions (SSP126),projected,15.520232971540429,13.603100175492951,-1.9171327960474775,33
North Carolina,NC,2036,ssp245,Medium emissions (SSP245),projected,15.520232971540429,13.851749593623806,-1.6684833779166208,37
North Carolina,NC,2036,ssp585,High emissions (SSP585),projected,15.520232971540429,14.16180537511047,-1.35842759642996,29
North Dakota,ND,2036,ssp126,Low emissions (SSP126),projected,5.61813967477536,6.947966095321188,1.329826420545831,2
North Dakota,ND,2036,ssp245,Medium emissions (SSP245),projected,5.61813967477536,7.472429069169373,1.8542893943940142,2
North Dakota,ND,2036,ssp585,High emissions (SSP585),projected,5.61813967477536,5.6539073590347115,0.03576768425935202,10
Ohio,OH,2036,ssp126,Low emissions (SSP126),projected,11.038854886262992,9.703220814302197,-1.3356340719607926,23
Ohio,OH,2036,ssp245,Medium emissions (SSP245),projected,11.038854886262992,10.080242708146546,-0.9586121781164448,25
Ohio,OH,2036,ssp585,High emissions (SSP585),projected,11.038854886262992,10.47430245119182,-0.5645524350711723,20
Oklahoma,OK,2036,ssp126,Low emissions (SSP126),projected,16.42986513421564,14.629038175830145,-1.8008269583854954,31
Oklahoma,OK,2036,ssp245,Medium emissions (SSP245),projected,16.42986513421564,16.71920084125409,0.2893357070384532,7
Oklahoma,OK,2036,ssp585,High emissions (SSP585),projected,16.42986513421564,15.158284203949556,-1.2715809302660857,27
Oregon,OR,2036,ssp126,Low emissions (SSP126),projected,9.886858622067185,8.3560537795305,-1.5308048425366854,28
Oregon,OR,2036,ssp245,Medium emissions (SSP245),projected,9.886858622067185,8.50372924409059,-1.3831293779765956,35
Oregon,OR,2036,ssp585,High emissions (SSP585),projected,9.886858622067185,7.0439462144824665,-2.84291240758472,45
Pennsylvania,PA,2036,ssp126,Low emissions (SSP126),projected,9.802554248037447,8.4313816536931,-1.3711725943443467,25
Pennsylvania,PA,2036,ssp245,Medium emissions (SSP245),projected,9.802554248037447,8.613411709760028,-1.1891425382774203,31
Pennsylvania,PA,2036,ssp585,High emissions (SSP585),projected,9.802554248037447,9.253386706041018,-0.5491675419964287,19
Rhode Island,RI,2036,ssp126,Low emissions (SSP126),projected,10.632302364029519,10.01518726348877,-0.6171151005407502,11
Rhode Island,RI,2036,ssp245,Medium emissions (SSP245),projected,10.632302364029519,9.969924926757812,-0.6623774372717073,20
Rhode Island,RI,2036,ssp585,High emissions (SSP585),projected,10.632302364029519,10.423619270324707,-0.2086830937048127,12
South Carolina,SC,2036,ssp126,Low emissions (SSP126),projected,17.616394629442244,15.392651839570236,-2.22374278987201,44
South Carolina,SC,2036,ssp245,Medium emissions (SSP245),projected,17.616394629442244,15.686558349569326,-1.9298362798729174,44
South Carolina,SC,2036,ssp585,High emissions (SSP585),projected,17.616394629442244,15.880310972152307,-1.7360836572899427,34
South Dakota,SD,2036,ssp126,Low emissions (SSP126),projected,8.343698217466962,8.992562855499317,0.6488646380323557,3
South Dakota,SD,2036,ssp245,Medium emissions (SSP245),projected,8.343698217466962,9.878693540973943,1.5349953235069833,3
South Dakota,SD,2036,ssp585,High emissions (SSP585),projected,8.343698217466962,7.810994145060985,-0.5327040724059754,18
Tennessee,TN,2036,ssp126,Low emissions (SSP126),projected,15.303866988060092,12.755034357796376,-2.5488326302637168,50
Tennessee,TN,2036,ssp245,Medium emissions (SSP245),projected,15.303866988060092,12.99618321518369,-2.3076837728764024,50
Tennessee,TN,2036,ssp585,High emissions (SSP585),projected,15.303866988060092,13.356769200397958,-1.9470977876621347,38
Texas,TX,2036,ssp126,Low emissions (SSP126),projected,19.854969577623947,17.6491171823251,-2.20585239529885,43
Texas,TX,2036,ssp245,Medium emissions (SSP245),projected,19.854969577623947,18.927100149783072,-0.9278694278408711,23
Texas,TX,2036,ssp585,High emissions (SSP585),projected,19.854969577623947,17.72010275650357,-2.134866821120374,40
Utah,UT,2036,ssp126,Low emissions (SSP126),projected,11.049222199687627,8.65094981619264,-2.3982723834949837,47
Utah,UT,2036,ssp245,Medium emissions (SSP245),projected,11.049222199687627,8.947231733024486,-2.1019904666631386,48
Utah,UT,2036,ssp585,High emissions (SSP585),projected,11.049222199687627,7.596916983635659,-3.452305216051966,48
Vermont,VT,2036,ssp126,Low emissions (SSP126),projected,6.389879743738701,5.626830114867945,-0.763049628870757,13
Vermont,VT,2036,ssp245,Medium emissions (SSP245),projected,6.389879743738701,5.840659293880222,-0.5492204498584807,17
Vermont,VT,2036,ssp585,High emissions (SSP585),projected,6.389879743738701,6.57098856613155,0.18110882239284826,8
Virginia,VA,2036,ssp126,Low emissions (SSP126),projected,13.59578502029959,11.460478014855795,-2.135307005443795,42
Virginia,VA,2036,ssp245,Medium emissions (SSP245),projected,13.59578502029959,11.610632321124065,-1.985152699175525,46
Virginia,VA,2036,ssp585,High emissions (SSP585),projected,13.59578502029959,12.098146696502893,-1.4976383237966988,30
Washington,WA,2036,ssp126,Low emissions (SSP126),projected,9.51955668811217,8.149327812837202,-1.3702288752749687,24
Washington,WA,2036,ssp245,Medium emissions (SSP245),projected,9.51955668811217,8.184783919562681,-1.334772768549488,34
Washington,WA,2036,ssp585,High emissions (SSP585),projected,9.51955668811217,7.243392255079854,-2.2761644330323163,41
West Virginia,WV,2036,ssp126,Low emissions (SSP126),projected,11.739005804265123,9.632074513854768,-2.1069312904103543,41
West Virginia,WV,2036,ssp245,Medium emissions (SSP245),projected,11.739005804265123,9.770762065279708,-1.968243738985414,45
West Virginia,WV,2036,ssp585,High emissions (SSP585),projected,11.739005804265123,10.210577475876443,-1.5284283283886797,32
Wisconsin,WI,2036,ssp126,Low emissions (SSP126),projected,6.974348840522657,6.689060892285177,-0.28528794823748,6
Wisconsin,WI,2036,ssp245,Medium emissions (SSP245),projected,6.974348840522657,7.222652969470684,0.24830412894802759,8
Wisconsin,WI,2036,ssp585,High emissions (SSP585),projected,6.974348840522657,7.731922231857022,0.757573391334366,3
Wyoming,WY,2036,ssp126,Low emissions (SSP126),projected,6.799927513976714,5.7379891056251875,-1.0619384083515255,18
Wyoming,WY,2036,ssp245,Medium emissions (SSP245),projected,6.799927513976714,6.50011419845282,-0.2998133155238938,15
Wyoming,WY,2036,ssp585,High emissions (SSP585),projected,6.799927513976714,4.274662508224927,-2.5252650057517867,44
